,title,org,desc
39,Art from the Heart Volunteer,The Douglas Center,"Can you color, paint, draw or enjoying helping those that do? You don't need to be an artist for this opportunity! We are seeking..."
40,Intern at the Institute for Therapy through the Arts!,Institute for Therapy through the Arts,Come intern at the Institute for Therapy through the Arts and gain valuable profession and clinical experience in the field of creative...
41,Retail Sales Associate - Old Orchard Skokie,NORTH SHORE EXCHANGE,"Passionate about fashion and giving back? Join our growing volunteer team. North Shore Exchange, https://northshoreexchange.org, the..."
42,Evanston Area Volunteers Needed,The Center of Concern,We are looking for volunteers in the Evanston area for numerous volunteer opportunities coming up. Our services are expanding out to that...
43,Help out with programs for Participants with developmental disabilities,Our Place,"Join participants in numerous different programs, including sports, art therapy, interactive games, and more! You may help staff by..."
44,Homebound Book Driver,Skokie Public Library,Homebound Job Description Driver Person will deliver materials to patrons every three weeks. Duties and Responsibilities Will arrange...
45,Therapy Dog Programming Assistant,Skokie Public Library,Assist with a monthly Rainbow Animal Assisted Therapy Time program by serving as a one-on-one aide for children ages 7-12. Help...
46,Book Selector for Homebound Delivery Service,Skokie Public Library,"Do you love to browse bookstores? Do you have a pile of books by your bed, waiting to be read? Does the phrase ""so many books, so..."
47,Book Club for the Disabled,Skokie Public Library,"Position: Let's Get Together Book Club Major Objective: To facilitate reading, discussion, and related activities in a weekly book club..."
48,Love Puppies?   Want to make a difference is someone's life?,Paws With A Cause,Paws With A Cause is currently looking for volunteers to raise our future Assistance Dogs. A puppy is placed in your home at 8 weeks of...
49,Volunteer to help older adults!,"norVOLution, Norwood's Volunteer Revolution","NorVOLution, Norwood Life Society's volunteer organization in Chicago's Norwood Park community, is looking for volunteers of all kinds!..."
50,Bring the Outside World to our Residents!,"norVOLution, Norwood's Volunteer Revolution","Share your passion, skills or hobby with the residents of our award-winning senior residential facility. We make it easy for you to..."
51,Event Ambassadors,The Center of Concern,Looking for enthusiastic and friendly individuals looking to give back for a great cause! Promote and distribute flyers/brochures at...
52,Volunteer to bring Harmony and Happiness to Hospice Patients,VITAS Healthcare of Chicagoland NW,Opportunity Description: VITAS Healthcare(r) is looking for musical volunteers who are able to play musical instruments and/or sing for...
53,Promote Relaxation to Hospice Patients with Massage Therapy,VITAS Healthcare of Chicagoland NW,"VITAS Healthcare is looking for kind and caring massage therapists to pamper hospice patients living at home, in the hospital or in long..."
54,Butterfly Ball,RAY GRAHAM ASSOCIATION FOR PEOPLE WITH...,In need of volunteers for Ray Graham's 45th annual The Butterfly Ball. This is a fundraiser that helps support over 2000 people with...
55,#GivingTuesday Telethon Volunteers Needed. *Help us kick off this Giving Season right!*,"Sertoma Centre, Inc.","After Black Friday and Cyber Monday comes #GivingTuesday. Each year Sertoma Centre enlists the help of amazing volunteer, just like you,..."
56,Older Adult Services,Advocate Lutheran General Hospital,"Entertain our seniors! Our Adult Day Care is looking for individuals to help with activities such as bingo, games, conversation etc. If..."
57,Join The SertomaCentre Family! -Office/Clinic Administrative Volunteers Needed-,"Sertoma Centre, Inc.",The Sertoma Centre Family is in need of at least 2 committed administrative Volunteers. We need assistance at two of our Southside...
58,WANTED: An individual living with mental illness looking to make a difference for...,NAMI COOK COUNTY NORTH SUBURBAN,Balance for Success Group is the first and third Tuesday of each month from 7-8:30pm at Winnetka Congregational Church in Winnetka. There...
59,Compassionate Listener: Become a bereavement caller.,Seasons Hospice and Palliative Care- Illinois,Bereavement Phone Callers needed!! Seasons Hospice and Palliative Care is looking for individuals who like to share and talk on the phone...
60,No One Should Die Alone: Vigil Volunteers Needed,Seasons Hospice and Palliative Care- Illinois,Seasons Hospice and Palliative Care is looking for caring volunteers who would like to make a difference in the lives of people facing...
61,The last good thing that may happen in a person's life is a hospice volunteer,Heartland Hospice,Volunteers are the HEART of Heartland Hospice! We are looking for special individuals who live in South Holland and surrounding...
62,Fashion Intake & Pricing Specialist,NORTH SHORE EXCHANGE,"North Shore Exchange (https://northshoreexchange.org), the award-winning, nonprofit luxury resale shop, is opening a third location in..."
63,Home Accessories Intake & Pricing Specialist,NORTH SHORE EXCHANGE,"North Shore Exchange (https://northshoreexchange.org), the award-winning, nonprofit luxury resale shop, is opening a third location in..."
64,Artist Mentor,Arts of Life North Shore,Artist Mentors The Arts of Life advances the creative arts community by providing artists with intellectual and developmental...
65,Design Content for Arts Based Non-Profit,Arts of Life North Shore,Designer Arts of Life advances the creative arts community by providing artists with intellectual and developmental disabilities a...
66,Seeking Creative Individuals!,Arts of Life North Shore,Arts of Life advances the creative arts community by providing artists with intellectual and developmental disabilities a collective...
67,Work with the Arts of Life North Shore Band,Arts of Life North Shore,"Music Assistant Volunteer/ Intern This position is ideal for those interested in music, education, songwriting or advocacy for the..."
68,Arts Administration & Marketing,Arts of Life North Shore,Arts of Life advances the creative arts community by providing artists with intellectual and developmental disabilities a collective...
69,VOLUNTEERS FOR ADAPTIVE TENNIS PROGRAM,Great Lakes Adaptive Sports Association (GLASA),"GLASA is looking for enthusiastic volunteers to help with our ongoing tennis program for children, adults and injured veterans with a..."
70,Cleaning Crew Needed!,Northwest Special Recreation Association (NWSRA),Northwest Special Recreation Association offers inclusion assistance for children and adults who have disabilities within the 17 park...
71,General Recreation Program Assistant,Northwest Special Recreation Association (NWSRA),Northwest Special Recreation Association is an extension of 17 park districts in the northwest suburbs and provides recreational...
72,Take a Break in the Afternoon,Clearbrook,"Volunteers participate in play with children with special needs, birth to age 5, at various sites to give parents a regularly scheduled..."
73,Help a Child Feel Included!,Northwest Special Recreation Association (NWSRA),Northwest Special Recreation Association offers inclusion assistance for children and adults who have disabilities within the 17 park...
74,Saturday Bowling Volunteer,The Center for Enriched Living,"The Center for Enriched Living exists so that people with developmental disabilities can be fully included in the community, achieve..."
75,Sunday Afternoon Volunteer,The Center for Enriched Living,"The Center for Enriched Living exists so that people with developmental disabilities can be fully included in the community, achieve..."
76,Employment Job Coach,The Center for Enriched Living,You can change a life. People with developmental disabilities face many barriers when looking for employment in the community -...
77,Daytime volunteer,The Center for Enriched Living,"REACH is a year-round day program for adults with developmental disabilities who work part-time, are unemployed, are transitioning into..."
78,Looking for something fun to do with your Saturday mornings?,Northwest Special Recreation Association (NWSRA),NWSRA exists to provide outstanding recreation opportunities for children and adults who have disabilities. One way we meet that mission...
79,Show us your muscles - become a Powerlifting Coach!,Northwest Special Recreation Association (NWSRA),Assist athletes who have special needs in weekly training sessions as they prepare to compete in Special Olympics competitions. Assistant...
80,Bon Appetit! Help a person with a disability learn to cook,Northwest Special Recreation Association (NWSRA),"NWSRA offers several cooking programs for adults who have disabilities. These programs help participants improve fine motor, cognitive,..."
81,"Have some ""spare"" time? Help bowlers who have special needs!",Northwest Special Recreation Association (NWSRA),NWSRA exsists to provide outstanding opportunities for children and adults who have disabilities. Volunteers are needed to help these...
82,Multiple Volunteer Opportunities - All Ages - Individual and Groups,HandsOn Suburban Chicago,HandsOn Suburban Chicago connects individuals and groups interested in volunteering with opportunities to serve their community....
83,Photographer,Clearbrook,Photographer to take pictures for us at our different day programs during the week from 10am to 1:30pm.
84,Bowling Buddies,Clearbrook,"Assist adults with intellectual disabilities on a Saturday bowling league. September - April, Saturdays 11:15am-2pm in Elk Grove Village"
85,Volunteer for Equine Therapy horsebackriding program- Special needs and veterans,Holistic Riding Equestrian Therapy,"HOLISTIC RIDING EQUESTRIAN THERAPY (HRET) is designed to improve the quality of life physically, emotionally, cognitively, and socially..."
86,Volunteer for Equine Therapy Program - Special Needs and Veterans,Holistic Riding Equestrian Therapy,"HOLISTIC RIDING EQUESTRIAN THERAPY (HRET) is designed to improve the quality of life physically, emotionally, cognitively, and socially..."
87,Social Program Volunteer- to support young adults with developmental disabilities..,TotalLink2 Community,TotalLink2 Community is a 501(c)(3) that empowers people with disabilities to live the life they choose within their community...through...
88,Volunteer for Equine Therapy program,Holistic Riding Equestrian Therapy,"HOLISTIC RIDING EQUESTRIAN THERAPY (HRET) is designed to improve the quality of life physically, emotionally, cognitively, and socially..."
89,Office Help,Clearbrook,"Volunteers needed for clerical work -- data entry, bulk mailings, filing and sort/organize press clippings and photographs."
0,Chicago Court Ordered Community Service VIRTUAL or LOCAL Nonprofit 501c3 Nobel & Prize...,Ganga Library Inc.,"CALL 202-340-6210. Work VIRTUAL or LOCAL based on YOUR background, interests, hobbies. Any profession, occupation. Flexible schedule ...."
1,Volunteer Tax Preparer (no experience necessary!),Ladder Up,Ever wished there was something you could do to help working families get ahead financially? Do you believe that when neighbors help...
2,"Join the ""Expert Connection""-Girl Scout Speaker's Bureau!",Girl Scouts of Greater Chicago and Northwest...,One of the best ways for girls to learn about new ideas is to hear it straight from someone who really knows their stuff! Would you...
3,Business Mentor: Share your knowledge with a small business owner!,SCORE Chicago,A SCORE mentor is an adviser who helps individuals and small businesses reach their goals. Mentors provide free business advice and...
4,Workshop Presenter: Use your knowledge to help small business owners learn critical...,SCORE Chicago,SCORE workshop presenters share their business acumen with their local community by leading educational workshops and seminars. As a...
5,Chapter Support Volunteer: Use your skills to help a local nonprofit support...,SCORE Chicago,Every SCORE chapter depends on the talent and time of volunteers to help entrepreneurs achieve their dreams of small business ownership....
6,Judge Student Debaters. No Experience Needed!,Chicago Debates,"Academic Debate is life changing for the debaters, but you can benefit too! Why Judge Debate? Empower a young person Serve as a..."
7,Judge Student Debaters. No Experience Needed!,Chicago Debates,"Academic Debate is life changing for the debaters, but you can benefit too! Why Judge Debate? Empower a young person Serve as a..."
8,Begin a Shoes That Fit Volunteer Chapter in your Community- Help Chicago kids in need...,Shoes That Fit,"Many children in the Chicago area lack proper shoes for school. Their shoes are too small, too big, or so worn they have to stuff..."
9,Help us Defend Potential : Become a Big!,Big Brothers Big Sisters of Metropolitan Chicago,"Become a Big! Big Brothers Big Sisters is a one-to-one mentoring program for children 7-14. Each volunteer, or 'Big', is matched with a..."
10,Join the movement to create healthier schools - Join our Auxiliary Board!,Action For Healthy Kids,Action for Healthy Kids (AFHK) has started a new Auxiliary Board and is looking for a diverse group of professionals who are interested...
11,Start Early: Read with Kindergarten students in Chicago Public Schools!,Working In The Schools (WITS),WITS Kindergarten (WITSK) develops trusting and fun relationships between adults and students with the intention of developing the...
12,Build Community in Chicago Public Schools: Become a Classroom Reading Tutor!,Working In The Schools (WITS),The Classroom Reading Tutor (CRT) program builds relationships between a volunteer and a Rochelle Lee Teacher Awardee that influences the...
13,Help Share Chicago Travel Tips to International Travelers,Hostelling International Chicago,HI Chicago Hostel is looking for interested in providing helpful information and suggestions to travelers. The right candidates will...
14,Mentor a high school student **Male mentors needed**,iMentor Chicago,***NOTE : Our female mentor slots are filling fast! Completing orientation and the application process now is highly recommended. If you...
15,Mentor a First-Generation College Student,America Needs You,"Only 11% of low-income, first-generation college students are expected to earn bachelor’s degrees. You can help America Needs You..."
16,Family Support Coordinator (1700 hour AmeriCorps),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
17,Volunteer Coordinator (1700 hour AmeriCorps member),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
18,Program Coordinator (1700 hour AmeriCorps member),Chicago HOPES for Kids,Chicago HOPES for Kids provides shelter-based academic support for children in Chicago's homeless and domestic violence shelters. We run...
19,AmeriCorps - Adult Literacy Specialist,Literacy Volunteers of Illinois,"As Literacy Specialists, AmeriCorps members will provide increased economic and educational opportunities to two underserved populations..."
20,Auxiliary Board,The Big Shoulders Fund,Eight years ago we formed our Auxiliary Board to engage active and altruistic young professionals. The group has a growing membership of...
21,Big Shoulders Catholic Elementary School Mentors,The Big Shoulders Fund,To work with a group of middle school students in one of eight Catholic elementary schools---first come-first pick. To encourage them...
22,K-12 Tutors Needed,Horizons for Youth,Horizons for Youth is a Chicago community committed to helping children in low-income families recognize and achieve their full potential...
23,K-12 Mentors Needed,Horizons for Youth,Horizons for Youth is a Chicago community committed to helping children in low-income families recognize and achieve their full potential...
24,Music Teachers for Underprivileged Children,MUSICLINK FOUNDATION,"MusicLink is in need of experienced music teachers and related volunteers in Illinois. With MusicLink, students (children under 18 years..."
25,Reading and Recording for the Blind,Blind Service Association,Our volunteers read one on one to blind and visually impaired adults or they record requested reading materials that have not been...
26,Volunteer Creative Writing Group Leader,Blind Service Association,Do you have experience in creative writing? Blind Service Association is looking for a volunteer to lead our creative writing group for...
27,Associate Board Member,TEACHERS SUPPORTING TEACHERS,Teachers Supporting Teachers is a nonprofit organization focused on increasing the retention rate of high impact teachers throughout...
28,Typing Instructor,Blind Service Association,We are looking for someone who can help our blind clients brush up on their typing skills or teach those without any skills how to type....
29,Communication Coordinator Mailchimp,In Her Shoes Foundation,MailChimp is the world's largest marketing automation platform. Millions of businesses use MailChimp to design and send a billion emails...
30,Empower Young Girls Program Mentor,In Her Shoes Foundation,JOB DESCRIPTION Facilitator for Teen Girls Program/ Youth Coordinator The purpose of IHSF (In Her Shoes Foundation) is to bring women of...
31,Mentor Teen Girls - South Side Chicago,In Her Shoes Foundation,Group Mentor for Teen Girl Program/ Youth Coordinator The purpose of IHSF (In Her Shoes Foundation) is to empower and inspire every woman...
32,Curriculum Developer,In Her Shoes Foundation,"Curriculum Developer The curriculum developer, also known as an instructional coordinator, is an educational professional who focuses on..."
33,Membership Coordinator,In Her Shoes Foundation,Membership Coordinator Position Summary: Membership Coordinator is expected to oversee and manage IHSF’s membership activities...
34,Community Outreach Liaison,In Her Shoes Foundation,Community Outreach Liaison: Reaching out to Chicagoland middle schools and high schools and either 1) signing up schools for the RSGA...
35,Dog Team Volunteer - SitStayRead,SitStayRead,"This is a volunteer with their dog who volunteer in the classroom together as a team, having the students come and read with their dog..."
36,Book Buddy Volunteer - SitStayRead,SitStayRead,"Our Book Buddy volunteers work with small groups of students on reading and writing activities, as dictated in the SitStayRead..."
37,Volunteers Needed for to Assist Workshop Coordinators,UIC CENTER FOR LITERACY VOLUNTEER PROGRAM,"Volunteer needed in UIC's Center for Literacy's (CFL) Volunteer Resource Program (VRP) 1640 West Roosevelt Road, Chicago, IL 60608..."
38,Make a Difference in Girls Lives! Troop in Lincoln Park area looking for a leader!,Girl Scouts of Greater Chicago and Northwest...,Make a difference in girls lives! St. Ignatius girls are looking for a leader for their Ambassador troop (11th grade). Day and time is...
39,AMAZING Support Members Needed!,The Honeycomb Project,We're so glad you found us! We are looking for fun and enthusiastic people just like you to help run our weekend volunteer projects for...
40,After-School Volunteer in Wicker Park - Rowe Elementary,Junior Achievement of Chicago,Teach elementary school students about all things business with Junior Achievement! We are looking for volunteers to teach a 5-week after...
41,Curriculum Developer,As One We Can Foundation dba The Black Ecosystem,"Hello, The Black Ecosystem (a subsidiary of As One We Can Foundation) is looking for a Curriculum Developer Volunteer who can make sure..."
42,Product developer (Fragrance),As One We Can Foundation dba The Black Ecosystem,"Hello there, we are looking for a Product Developer Volunteer to create a perfume bottle! Our youth organization teaches disadvantaged..."
43,Help Immigrants Learn English - Become an English Literacy Tutor!,Aquinas Literacy Center,Help adult immigrants learn English at Aquinas Literacy Center! By volunteering as an English Literacy Tutor for just 90 minutes per week...
44,"Volunteer Opportunities at Somebodae School of the Arts (Chicago, IL)",Somebodae School of the Arts (SSA),"With wide-ranging opportunities to use your expertise, skills, talents and passions, you will be able to give back, improve the lives of..."
45,Program Volunteer,Midwest Brain Injury Clubhouse,Therapeutic superstars with an interest in working with an under served disabled population wanted. Applications are being accepted now...
46,Tutor in Logan Square,Tutoring Chicago,Looking to make a lasting impact on your community? Join our growing volunteer team in Logan Square and help a student develop the...
47,Plan and Lead an Art Group for Adults!,The Boulevard: The Road to Health and Home,"What You Can Do: We could use volunteers to facilitate an on-going ""Art Expression Group"". This group encourages The Boulevard..."
48,Volunteers Needed for Adult GED Class (FAST west),UIC CENTER FOR LITERACY VOLUNTEER PROGRAM,"This Opportunity is available Monday-Thursday 9 AM to 12 PM at Garfield Community Service Center (10 S. Kedzie Ave, Chicago, IL 60612)..."
49,ESL Instructor,St. Joseph Services,We offer talented individuals the opportunity to lend their knowledge of the English language to our enthusiastic adult students....
50,Chicago kids need YOU: Be a mentor & a tutor... be the difference! Volunteer in the...,Midtown Educational Foundation - Metro for...,"Chicago low-income students need you! Students who attend Metro self-report growth in confidence, friendship, and leadership skills AND..."
51,Be The Change! Become a Citizenship Instructor,St. Joseph Services,We offer talented individuals the opportunity to assist our enthusiastic adult students on the path to becoming citizens. Instructors...
52,Be a Front Desk Volunteer,Aquinas Literacy Center,Greet all who come to Aquinas Literacy Center! Our Front Desk Volunteers helps Aquinas Literacy Center embody our mission of hospitality...
53,Field Experience Chaperone,GCE Lab School,The purpose of this position is to provide supervision support and guidance for students as they travel with their academic classes on...
54,2019-20 Academic Decathlon Volunteer Recruitment,Chicago Public Schools Academic Decathlon,The Annual Academic Decathlon is a nationwide competition that promotes academic excellence through teamwork. Students of all achievement...
55,Seeking Board Members for a leading edge Virtual Charter School,Chicago Virtual Charter School,The Chicago Virtual Charter School Board of Directors is currently accepting applications for present openings on the School Board....
56,Crown Family PlayLab at The Field Museum,The Field Museum,"The Crown Family PlayLab starts with a child's innate curiosity, adds real artifacts and specimens, and encourages young explorers to..."
57,Tutor in West Loop/Near West Side,Tutoring Chicago,Looking to make a lasting impact on your community? Join our growing volunteer team in the West Loop/Near West Side and help a student...
58,Inspire and Prepare Young People,Junior Achievement USA,Make an impact on the lives of kindergarten to 12th grade students across the USA by volunteering for JA! Volunteers can engage with...
59,Career Day at Phoenix Military Academy,Junior Achievement of Chicago,"At Junior Achievement, we believe that exposure to professional role models like you can help students set meaningful goals, make smarter..."
60,Teach Work Readiness Workshops at Phoenix Military Academy!,Junior Achievement of Chicago,Please join our High School Seniors from Phoenix Military Academy at Robert Morris University to teach three Work Readiness workshops!...
61,Academic Tutor/Mentor for High School Students,HighSight,"HighSight is a nonprofit organization that provides scholaships, tutoring, mentoring, leadership development and college readiness..."
62,Field Trip Experience Volunteers,The Field Museum,Want to Get Students Curious About the World? Become a Field Museum Field Trip Experience Volunteer! Engage with diverse groups of pre-K...
63,Field Trip Steward,The Field Museum,"Field Trip Stewards will welcome field trip groups to the Field Museum, helping with logistics and orienting school groups. Volunteers..."
64,Secret Agent Supply Clerks Needed at 826CHI,826CHI,"Volunteers in the Secret Agent Supply welcome visitors, customers, and community members into our space and educate them about 826CHI's..."
65,ESL Tutor,Casa Central,"Casa Central's Adult Wellness Center (AWC) offers daily center-based care to Latino and other older adults, 60 years of age and older,..."
66,Adult Education Tutor,Erie Neighborhood House,Erie Neighborhood House invites willing and dedicated individuals to volunteer as a tutor at its location in West Town area for the...
67,Teaching English To Adults,Erie Neighborhood House,"Tutoring English as a Second Language to adults Helping Adults to improve their vocabulary, pronunciation, reading and writing, and..."
68,Volunteer Office Assistant Saturdays 9 a.m.-12 p.m.,Erie Neighborhood House,Erie Neighborhood House is looking for a volunteer office assistant to come in on Saturdays from 9 a.m. until noon. The volunteer would...
69,Volunteer Office Assistant,Erie Neighborhood House,Erie Neighborhood House invites willing and dedicated individuals to volunteer as an office assistant at the West Town location. Hours...
70,ESL Volunteer Tutor,Erie Neighborhood House,Help an adult learner to improve his/her conversation in English as a Second Language. 2 hours per week as a minimum. We provide...
71,Citizenship Tutor,Erie Neighborhood House,Tutor someone who is preparing for their citizenship exam. The sessions with the student leading up to the exam will involve covering a...
72,One on one English as a Second Language Tutor,Erie Neighborhood House,"Help our adult learners to read, speak, and write in English as their second language! Positions as a 1-on-1 tutor or small group teacher..."
73,Volunteer Office Assistant,Erie Neighborhood House,"Evening office assistant in Community Literacy office. Will need to help with basic office duties such as copying, filing, entering..."
74,Small Group ESL Tutor,Erie Neighborhood House,The Community Literacy Program is looking for English as a Second Langugage tutors who are willing to teach a small group. The times and...
75,English as a Second Language Teacher (evenings),Erie Neighborhood House,"Teach (ESL) English as a Second Language classes to adults whose native language is Spanish, 6-8 pm, Mondays through Thursdays, at Erie..."
76,Part-time Office Assistant,Erie Neighborhood House,Part-time Office Assistant Description Job Brief: The Community Literacy Program at Erie Neighborhood House is looking for a welcoming...
77,Tutor in Chicago Public Schools,Erie Neighborhood House,Volunteer to teach English to parents with our partnerships in Chicago Public Schools. Parents are Spanish native speakers. Free traning...
78,Become a Tutor and Mentor to Chicago Youth!,"Chicago Lights Tutoring Program, Fourth...","Celebrating its 55th year of service, Tutoring provides academic support to children living in under-resourced neighborhoods on the near..."
79,After-School Instructors,Project Education Plus,"Instructors are needed to cover the following areas: - Arts & Crafts - Tutoring (Math. Reading & Science) - Fine Arts (Art,..."
80,World Computer Exchange-Chicago Seeks New Chapter Leaders,World Computer Exchange - Chicago,The World Computer Exchange(WCE) Chicago Chapter has been an active part of WCE since 2005. We have played a key role in refurbishing...
81,Program Committee,GREEN STAR MOVEMENT NFP,"We are looking for individuals to serve on the Governance, Program, or Marketing & Development Committee of our Board of Directors...."
82,Prison Pen Pal,Above and Beyond family Recovery Center,"In the context of spending your time inside a gorgeously appointed, one-of-a-kind, behavioral, outpatient, harm-reduction addiction..."
83,After School Homework Tutor (Grades 9-12),Project: VISION,"Project: VISION (www.projectvisionchicago.org) is a small grassroots nonprofit organization serving youth in Chicago's Chinatown,..."
84,After School Homework Tutor (Grades 6-8),Project: VISION,"Project: VISION (www.projectvisionchicago.org) is a small grassroots nonprofit organization serving youth in Chicago's Chinatown,..."
85,After School ESL Tutor (grades 6-12),Project: VISION,We are seeking tutors for our After School Homework Tutoring Program. Tutors will assist English Language Learners (ESL or ELL) students...
86,Facilities coordinator for STEM conference,EYH Chicago,About the position: we're looking for University of Illinois at Chicago (UIC) students to coordinate with the UIC building staff to book...
87,Family Literacy Program Volunteers,Association House of Chicago,The Family Literacy Program provides on-site childcare for the children of the parents who attend Association House High School. We also...
88,Tutoring Incarcerated youth at Illinois Youth Center Chicago,Literacy Volunteers of Illinois,Literacy Volunteers of Illinois' Jump Start program began as an initiative to invite members from the community to tutor incarcerated...
89,Tutor incarcerated youth through AmeriCorps at IYC Chicago,Literacy Volunteers of Illinois,Tutor incarcerated youth at the Illinois Youth Center in Chicago through the VOCAL AmeriCorps Program of Literacy Volunteers of Illinois...
90,Make a Difference by Mentoring Youth in North Lawndale,Chicago HOPES for Kids,"Did you know that approximately 18,000 Chicago Public School students were identified as homeless during the 2016-2017 academic school..."
91,Technology Lab Volunteer,Association House of Chicago,Help us bridge Humboldt Park community residents through the digital divide. With only four out of ten residents using broadband or...
92,Golf Classic Committee,The Big Shoulders Fund,Every year the Big Shoulders Fund holds its annual Golf Classic. This year the 14 th Annual Golf Classic is being held at Olympia Fields...
93,Director of Marketing and Communications,MINDS MATTER,Management Team: Director of Marketing & Communications (Marcom) The Director of Marketing & Communications primary goal is to...
94,Alain Locke Charter School Associate Board,Alain Locke Charter School,"The mission of the Alain Locke Charter School is to serve as a demonstration for urban schools exemplifying excellence in academics, the..."
95,Healthy Living Skills Facilitator,The Boulevard: The Road to Health and Home,Purpose: The overall goal is to equip residents with the knowledge and skills to be able to manage their own lives in a healthy and...
96,Associate Board Member,Project: VISION,"Project: VISION ( www.projectvisionchicago.org) is a small grassroots nonprofit organization serving youth ages 12-18, who are primarily..."
97,Board Member for Youth Organization,Project: VISION,"Project: VISION ( www.projectvisionchicago.org) is a small grassroots nonprofit organization serving youth ages 12-18, who are primarily..."
98,English Tutor,Hanul Family Alliance,"Recruiting Basic English Tutor for Korean Seniors Hanul Family Alliance is looking for volunteers who can teach basic speaking, reading..."
99,Enjoy Science and Sharing knowledge? Volunteer at The Field Museum,The Field Museum,"Did you know that The Field Museum has over 40 million specimens in their collection, and less than 1% is out for public viewing? Join..."
100,EDUCATE Tutor,Casa Central,La Posada’s main goal is to restore families who are experiencing homelessness to stable and permanent living situations by...
101,Help Prepare Computers for Classrooms in Developing Countries,World Computer Exchange - Chicago,Come join others in a friendly welcoming volunteer environment to make a difference in the lives of children in developing countries . We...
102,After School Tutor/Mentor,Casa Central,"Looking for the opportunity to support school age children, 6- 17 years old? With the new the school year approaching we are seeking..."
103,Literacy Tutor (ESL and Citizenship),Vietnamese Association of Illinois,VAI operates an Adult Volunteer Literacy (AVL) program to help community members who want to improve their English and to prepare for...
104,Girls Inc. of Chicago Ambassadors,GIRLS INC OF CHICAGO,Girls Inc. of Chicago welcomes ambassadors to the program that are willing to help in the classroom as a Program Aide. The Program Aide...
105,Tutor (K-8),Vietnamese Association of Illinois,VAI is looking for tutors for our youth program! Our program runs after school each day. Volunteers will assist students in grades K-8...
106,Medical Terminology Tutor,Jane Addams Resource Corporation,The mission of Jane Addams Resource Corporation (JARC) is to ensure that people who work do not live in poverty. We do this by providing...
107,Digital Literacy Instructor,Jane Addams Resource Corporation,Volunteer Opportunity We are looking for a Computer Class Instructor to teach Introduction to Computers and/or Introduction/Intermediate...
108,Seeking tutor with a passion for teaching,The Well of Mercy,Seeking tutors that would like to aid in single mothers' educational journey. The tutors would assist in course work and explanation of...
109,North Grand High School,Junior Achievement of Chicago,North Grand high school is looking for volunteers to come into the classroom and work with seniors to learn more about possible career...
110,North Grand High School,Junior Achievement of Chicago,North Grand high school is looking for volunteers to come into the classroom and work with seniors to learn more about possible career...
111,North Grand High School,Junior Achievement of Chicago,North Grand high school is looking for volunteers to come into the classroom and work with seniors to learn more about possible career...
112,North Grand High School,Junior Achievement of Chicago,North Grand high school is looking for volunteers to come into the classroom and work with seniors to learn more about possible career...
113,North Grand High School,Junior Achievement of Chicago,North Grand high school is looking for volunteers to come into the classroom and work with seniors to learn more about possible career...
114,North Grand High School,Junior Achievement of Chicago,North Grand high school is looking for volunteers to come into the classroom and work with seniors to learn more about possible career...
115,Looking for professionals to help others find jobs,Indo-American Center,Workforce Development seeks volunteers for resume critiquing and mock interviews. Volunteers meet with scheduled clients on a one-on-one...
116,Help someone become a U.S. Citizen,Indo-American Center,Citizenship interviewers help clients prepare for their citizenship interviews with the United States Department of Citizenship and...
117,Help a struggling reader!,Oglesby Elementary School,I am looking for a volunteer to read to and work on literacy activities with a fourth grader who is a beginning reader. The ideal...
118,Do you have a passion for teaching or tutoring? Then we want you!,Indo-American Center,"Literacy tutors and instructors have the opportunity to teach or tutor adult English language learners as they develop reading, writing,..."
119,English (ESL) Instructor,South-East Asia Center,The South-East Asia Center is looking for people to teach English or citizenship to adult learners from South-East Asian countries....
120,English (ESL) and/or Citizenship Tutor Volunteer,South-East Asia Center,The South-East Asia Center located in the Uptown area needs you to teach English and/or citizenship to immigrants/refugees two hours/week...
121,Read with CPS 3rd Graders in Albany Park at Hibbard Elementary!,Working In The Schools (WITS),Working in the Schools (WITS) creates positive learning communities through a portfolio of volunteer literacy mentor programs and teacher...
122,Tutor a Refugee Student,RefugeeOne,Want to help make a difference in the life of a young refugee? RefugeeOne’s in-home tutors work one-on-one with a child who has...
123,Mentor an adult Refugee,RefugeeOne,Want to help make a difference in the life of a refugee? RefugeeOne seeks volunteer mentors to help newly arrived refugee adults become...
124,Read with CPS Kindergarteners in Logan Square at McAuliffe Elementary,Working In The Schools (WITS),Working in the Schools (WITS) sets students on a trajectory for success by building critical literacy skills and positive self-identity...
125,Foodies Wanted!,"Perceptual Motion, Inc.",Like food? Food presentation? Join the Food Presentation Committee for the Wine & Chocolate Benefit Volunteers sought for the food...
126,Volunteers Needed for Adult ESL Class (FAST Southwest) - ESL Site,UIC CENTER FOR LITERACY VOLUNTEER PROGRAM,"This opportunity is available Monday, Wednesday, Friday 8:30 AM to 11:15 AM at St Joseph Catholic Church (4800 S Paulina St. Chicago IL,..."
127,Volunteer Tutor for HS students,Pass With Flying Colors,Pass With Flying Colors is a college readiness and success program that works out of Northtown Academy in Northwest Chicago. We support...
128,Host/Hostess,"Wonder Works, A Children's Museum in Oak Park","As our Host/Hostess, you will be the first person our guests meet when they bring their children to our play and learning destination...."
